,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id0,0,19,158638,193925,-71.07192993164062,42.35600690670569,-71.07124328613281,42.35549949225654
id1,1,19,158638,193926,-71.07192993164062,42.35549949225654,-71.07124328613281,42.35499207371046
id2,2,19,158638,193927,-71.07192993164062,42.35499207371046,-71.07124328613281,42.354484651067445
id3,3,19,158638,193928,-71.07192993164062,42.354484651067445,-71.07124328613281,42.35397722432751
id4,4,19,158638,193929,-71.07192993164062,42.35397722432751,-71.07124328613281,42.353469793490646
id5,5,19,158638,193930,-71.07192993164062,42.353469793490646,-71.07124328613281,42.35296235855688
id6,6,19,158638,193931,-71.07192993164062,42.35296235855688,-71.07124328613281,42.3524549195262
id7,7,19,158638,193932,-71.07192993164062,42.3524549195262,-71.07124328613281,42.351947476398635
id8,8,19,158639,193925,-71.07124328613281,42.35600690670569,-71.070556640625,42.35549949225654
id9,9,19,158639,193926,-71.07124328613281,42.35549949225654,-71.070556640625,42.35499207371046
id10,10,19,158639,193927,-71.07124328613281,42.35499207371046,-71.070556640625,42.354484651067445
id11,11,19,158639,193928,-71.07124328613281,42.354484651067445,-71.070556640625,42.35397722432751
id12,12,19,158639,193929,-71.07124328613281,42.35397722432751,-71.070556640625,42.353469793490646
id13,13,19,158639,193930,-71.07124328613281,42.353469793490646,-71.070556640625,42.35296235855688
id14,14,19,158639,193931,-71.07124328613281,42.35296235855688,-71.070556640625,42.3524549195262
id15,15,19,158639,193932,-71.07124328613281,42.3524549195262,-71.070556640625,42.351947476398635
id16,16,19,158640,193925,-71.070556640625,42.35600690670569,-71.06986999511719,42.35549949225654
id17,17,19,158640,193926,-71.070556640625,42.35549949225654,-71.06986999511719,42.35499207371046
id18,18,19,158640,193927,-71.070556640625,42.35499207371046,-71.06986999511719,42.354484651067445
id19,19,19,158640,193928,-71.070556640625,42.354484651067445,-71.06986999511719,42.35397722432751
id20,20,19,158640,193929,-71.070556640625,42.35397722432751,-71.06986999511719,42.353469793490646
id21,21,19,158640,193930,-71.070556640625,42.353469793490646,-71.06986999511719,42.35296235855688
id22,22,19,158640,193931,-71.070556640625,42.35296235855688,-71.06986999511719,42.3524549195262
id23,23,19,158640,193932,-71.070556640625,42.3524549195262,-71.06986999511719,42.351947476398635
id24,24,19,158641,193925,-71.06986999511719,42.35600690670569,-71.06918334960938,42.35549949225654
id25,25,19,158641,193926,-71.06986999511719,42.35549949225654,-71.06918334960938,42.35499207371046
id26,26,19,158641,193927,-71.06986999511719,42.35499207371046,-71.06918334960938,42.354484651067445
id27,27,19,158641,193928,-71.06986999511719,42.354484651067445,-71.06918334960938,42.35397722432751
id28,28,19,158641,193929,-71.06986999511719,42.35397722432751,-71.06918334960938,42.353469793490646
id29,29,19,158641,193930,-71.06986999511719,42.353469793490646,-71.06918334960938,42.35296235855688
id30,30,19,158641,193931,-71.06986999511719,42.35296235855688,-71.06918334960938,42.3524549195262
id31,31,19,158641,193932,-71.06986999511719,42.3524549195262,-71.06918334960938,42.351947476398635
id32,32,19,158642,193925,-71.06918334960938,42.35600690670569,-71.06849670410156,42.35549949225654
id33,33,19,158642,193926,-71.06918334960938,42.35549949225654,-71.06849670410156,42.35499207371046
id34,34,19,158642,193927,-71.06918334960938,42.35499207371046,-71.06849670410156,42.354484651067445
id35,35,19,158642,193928,-71.06918334960938,42.354484651067445,-71.06849670410156,42.35397722432751
id36,36,19,158642,193929,-71.06918334960938,42.35397722432751,-71.06849670410156,42.353469793490646
id37,37,19,158642,193930,-71.06918334960938,42.353469793490646,-71.06849670410156,42.35296235855688
id38,38,19,158642,193931,-71.06918334960938,42.35296235855688,-71.06849670410156,42.3524549195262
id39,39,19,158642,193932,-71.06918334960938,42.3524549195262,-71.06849670410156,42.351947476398635
id40,40,19,158643,193925,-71.06849670410156,42.35600690670569,-71.06781005859375,42.35549949225654
